max_population,selection_strategy,num_of_crossovers_per_generation,mutation_probability,problem_difficulty,runs,average_time(success),success_rate
5,simple_sort,3,0.3,hard,50,1.3307837777777725,72.0
5,simple_sort,3,0.4,easy,50,0.03656493999991653,100.0
5,simple_sort,3,0.4,hard,50,0.49003363829781826,94.0
5,simple_sort,3,0.5,easy,50,0.02705395833337813,96.0
5,simple_sort,3,0.5,hard,50,0.30970295744675164,94.0
5,simple_sort,3,0.6,easy,50,0.05274340816322365,98.0
5,simple_sort,3,0.6,hard,50,0.29187704166686973,96.0
5,simple_sort,3,0.7,easy,50,0.0498173673470087,98.0
5,simple_sort,3,0.7,hard,50,0.18022539999990841,100.0
5,simple_sort,3,0.8,easy,50,0.021561839999994847,100.0
5,simple_sort,3,0.8,hard,50,0.11322243999984494,100.0
6,fitness_proportionate_selection,1,0.01,easy,50,0.49372619999983725,100.0
6,fitness_proportionate_selection,1,0.01,hard,50,1.1487117619048408,84.0
6,fitness_proportionate_selection,1,0.05,easy,50,0.18203501999989385,100.0
6,fitness_proportionate_selection,1,0.05,hard,50,1.1119164693878256,98.0
6,fitness_proportionate_selection,1,0.1,easy,50,0.11847918000017671,100.0
6,fitness_proportionate_selection,1,0.1,hard,50,0.7851734800000122,100.0
6,fitness_proportionate_selection,1,0.2,easy,50,0.10192895999996836,100.0
6,fitness_proportionate_selection,1,0.2,hard,50,0.5859785999999076,100.0
6,fitness_proportionate_selection,1,0.3,easy,50,0.11556013999997958,100.0
6,fitness_proportionate_selection,1,0.3,hard,50,0.8677154800001518,100.0
6,fitness_proportionate_selection,1,0.4,easy,50,0.11004284000009648,100.0
6,fitness_proportionate_selection,1,0.4,hard,50,0.9867049000001135,100.0
6,fitness_proportionate_selection,1,0.5,easy,50,0.12415008000007219,100.0
6,fitness_proportionate_selection,1,0.5,hard,50,1.8258568775511645,98.0
6,fitness_proportionate_selection,1,0.6,easy,50,0.29142274000005275,100.0
6,fitness_proportionate_selection,1,0.6,hard,50,3.148574191489388,94.0
6,fitness_proportionate_selection,1,0.7,easy,50,0.27874114000005645,100.0
6,fitness_proportionate_selection,1,0.7,hard,50,4.3182194782608825,92.0
6,fitness_proportionate_selection,1,0.8,easy,50,0.3162788,100.0
6,fitness_proportionate_selection,1,0.8,hard,50,6.227712941176886,68.0
6,fitness_proportionate_selection,2,0.01,easy,50,0.6086107799999445,100.0
6,fitness_proportionate_selection,2,0.01,hard,50,1.9426905666667154,60.0
6,fitness_proportionate_selection,2,0.05,easy,50,0.1295764400000917,100.0
6,fitness_proportionate_selection,2,0.05,hard,50,2.3745867826086315,92.0
6,fitness_proportionate_selection,2,0.1,easy,50,0.12105003999982727,100.0
6,fitness_proportionate_selection,2,0.1,hard,50,1.0567414799999824,100.0
6,fitness_proportionate_selection,2,0.2,easy,50,0.10361052000022028,100.0
6,fitness_proportionate_selection,2,0.2,hard,50,0.585826339999985,100.0
6,fitness_proportionate_selection,2,0.3,easy,50,0.05687402000032307,100.0
6,fitness_proportionate_selection,2,0.3,hard,50,0.28091840000000956,100.0
6,fitness_proportionate_selection,2,0.4,easy,50,0.07266289999970468,100.0
6,fitness_proportionate_selection,2,0.4,hard,50,0.38380673999970893,100.0
6,fitness_proportionate_selection,2,0.5,easy,50,0.05364700000027369,100.0
6,fitness_proportionate_selection,2,0.5,hard,50,0.544159860000218,100.0
6,fitness_proportionate_selection,2,0.6,easy,50,0.09127607999951579,100.0
6,fitness_proportionate_selection,2,0.6,hard,50,0.8223099800000636,100.0
6,fitness_proportionate_selection,2,0.7,easy,50,0.10132831999988412,100.0
6,fitness_proportionate_selection,2,0.7,hard,50,1.2176173999998718,100.0
6,fitness_proportionate_selection,2,0.8,easy,50,0.12833065999991958,100.0
6,fitness_proportionate_selection,2,0.8,hard,50,1.7035627800001385,100.0
6,fitness_proportionate_selection,3,0.01,easy,50,0.4904245400000218,100.0
6,fitness_proportionate_selection,3,0.01,hard,50,2.429808161290097,62.0
6,fitness_proportionate_selection,3,0.05,easy,50,0.22674465306134114,98.0
6,fitness_proportionate_selection,3,0.05,hard,50,1.5628469777776142,90.0
6,fitness_proportionate_selection,3,0.1,easy,50,0.10122625999996672,100.0
6,fitness_proportionate_selection,3,0.1,hard,50,1.6371109799999248,100.0
6,fitness_proportionate_selection,3,0.2,easy,50,0.0783480999997846,100.0
6,fitness_proportionate_selection,3,0.2,hard,50,0.5394822600001499,100.0
6,fitness_proportionate_selection,3,0.3,easy,50,0.06667027999988932,100.0
6,fitness_proportionate_selection,3,0.3,hard,50,0.44714751999999863,100.0
6,fitness_proportionate_selection,3,0.4,easy,50,0.0656656200002908,100.0
6,fitness_proportionate_selection,3,0.4,hard,50,0.37435225999957766,100.0
6,fitness_proportionate_selection,3,0.5,easy,50,0.0478951799999777,100.0
6,fitness_proportionate_selection,3,0.5,hard,50,0.394523540000082,100.0
6,fitness_proportionate_selection,3,0.6,easy,50,0.054077419999885024,100.0
6,fitness_proportionate_selection,3,0.6,hard,50,0.3954598599999736,100.0
6,fitness_proportionate_selection,3,0.7,easy,50,0.06794284000010521,100.0
6,fitness_proportionate_selection,3,0.7,hard,50,0.4343553599998995,100.0
6,fitness_proportionate_selection,3,0.8,easy,50,0.07941837999940617,100.0
6,fitness_proportionate_selection,3,0.8,hard,50,0.7587116600000445,100.0
6,simple_sort,1,0.01,easy,50,0.33544605882365003,68.0
6,simple_sort,1,0.01,hard,50,0.4207258333329567,36.0
6,simple_sort,1,0.05,easy,50,0.16664439130450456,92.0
6,simple_sort,1,0.05,hard,50,0.9241774800005078,50.0
6,simple_sort,1,0.1,easy,50,0.08319869999992079,100.0
6,simple_sort,1,0.1,hard,50,1.0842617435895916,78.0
6,simple_sort,1,0.2,easy,50,0.06684452000008605,100.0
6,simple_sort,1,0.2,hard,50,0.7055388999998832,100.0
6,simple_sort,1,0.3,easy,50,0.04679420000007667,100.0
6,simple_sort,1,0.3,hard,50,0.45392480000016805,100.0
6,simple_sort,1,0.4,easy,50,0.04558153999991191,100.0
6,simple_sort,1,0.4,hard,50,0.23796483673474855,98.0
6,simple_sort,1,0.5,easy,50,0.057924740000162275,100.0
6,simple_sort,1,0.5,hard,50,0.2733546799999749,100.0
6,simple_sort,1,0.6,easy,50,0.0573261600000842,100.0
